,Player,Position,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,eFGP,PER,WS
0,Alex Abrines,Forward,17.2,2.4,5.2,.463,1.4,3.3,.423,1.0,2.0,.423,1.0,1.2,.841,0.4,1.2,1.7,0.8,0.6,0.3,0.6,1.8,7.3,0,0,0
1,Alexey Shved,Guard,17.2,2.4,5.2,.463,1.4,3.3,.423,1.0,2.0,.423,1.0,1.2,.841,0.4,1.2,1.7,0.8,0.6,0.3,0.6,1.8,7.3,0,0,0
2,Alexis Ajinca,Center,19.9,4.5,8.2,.544,0.2,0.6,.293,4.3,7.6,.293,2.6,3.3,.776,1.8,3.4,5.2,1.0,0.7,1.4,2.2,2.8,11.7,0,0,0
3,Andrew White,Center,19.9,4.5,8.2,.544,0.2,0.6,.293,4.3,7.6,.293,2.6,3.3,.776,1.8,3.4,5.2,1.0,0.7,1.4,2.2,2.8,11.7,0,0,0
4,Anfernee Simons,Center,19.9,4.5,8.2,.544,0.2,0.6,.293,4.3,7.6,.293,2.6,3.3,.776,1.8,3.4,5.2,1.0,0.7,1.4,2.2,2.8,11.7,0,0,0
5,Angel Delgado,Center,19.9,4.5,8.2,.544,0.2,0.6,.293,4.3,7.6,.293,2.6,3.3,.776,1.8,3.4,5.2,1.0,0.7,1.4,2.2,2.8,11.7,0,0,0
6,Ante Zizic,"Born:

    January 4, 1997",19.9,4.5,8.2,.544,0.2,0.6,.293,4.3,7.6,.293,2.6,3.3,.776,1.8,3.4,5.2,1.0,0.7,1.4,2.2,2.8,11.7,0,0,0
7,Axel Toupane,Forward,17.1,2.1,4.6,.464,0.7,2.0,.353,1.4,2.6,.353,0.8,1.0,.766,0.2,2.0,2.2,0.9,0.8,0.1,0.7,1.9,5.7,0,0,0
8,Bam Adebayo,Forward,17.1,2.1,4.6,.464,0.7,2.0,.353,1.4,2.6,.353,0.8,1.0,.766,0.2,2.0,2.2,0.9,0.8,0.1,0.7,1.9,5.7,0,0,0
9,Bernard James,,17.1,2.1,4.6,.464,0.7,2.0,.353,1.4,2.6,.353,0.8,1.0,.766,0.2,2.0,2.2,0.9,0.8,0.1,0.7,1.9,5.7,0,0,0
10,Bismack Biyombo,Forward,17.1,2.3,4.1,.552,0.0,0.0,0,2.3,4.1,0,1.9,3.4,.553,1.9,3.1,5.1,0.3,0.4,2.3,1.7,2.0,6.4,0,0,0
11,Boban Marjanovic,Center,17.1,2.3,4.1,.552,0.0,0.0,0,2.3,4.1,0,1.9,3.4,.553,1.9,3.1,5.1,0.3,0.4,2.3,1.7,2.0,6.4,0,0,0
12,Bogdan Bogdanovic,Guard,17.1,2.3,4.1,.552,0.0,0.0,0,2.3,4.1,0,1.9,3.4,.553,1.9,3.1,5.1,0.3,0.4,2.3,1.7,2.0,6.4,0,0,0
13,Bojan Bogdanovic,"6-7, 216lb (201cm, 97kg)",5.6,0.1,1.0,.143,0.1,1.0,.143,0.0,0.0,.143,0.6,0.6,1.000,0.3,0.1,0.4,0.1,0.3,0.0,0.4,1.3,1.0,0,0,0
14,Bruno Caboclo,"6-7, 216lb (201cm, 97kg)",5.6,0.1,1.0,.143,0.1,1.0,.143,0.0,0.0,.143,0.6,0.6,1.000,0.3,0.1,0.4,0.1,0.3,0.0,0.4,1.3,1.0,0,0,0
15,Bryce Dejean-Jones,"6-7, 216lb (201cm, 97kg)",5.6,0.1,1.0,.143,0.1,1.0,.143,0.0,0.0,.143,0.6,0.6,1.000,0.3,0.1,0.4,0.1,0.3,0.0,0.4,1.3,1.0,0,0,0
16,Byron Mullens,"6-7, 216lb (201cm, 97kg)",5.6,0.1,1.0,.143,0.1,1.0,.143,0.0,0.0,.143,0.6,0.6,1.000,0.3,0.1,0.4,0.1,0.3,0.0,0.4,1.3,1.0,0,0,0
17,Cedi Osman,Forward,5.6,0.1,1.0,.143,0.1,1.0,.143,0.0,0.0,.143,0.6,0.6,1.000,0.3,0.1,0.4,0.1,0.3,0.0,0.4,1.3,1.0,0,0,0
18,Christian Eyenga,Forward,5.6,0.1,1.0,.143,0.1,1.0,.143,0.0,0.0,.143,0.6,0.6,1.000,0.3,0.1,0.4,0.1,0.3,0.0,0.4,1.3,1.0,0,0,0
19,Clint Capela,Forward,17.9,3.4,5.3,.635,0.0,0.0,.000,3.4,5.3,.000,1.2,2.1,.551,2.3,3.7,6.0,0.9,0.6,1.3,1.2,1.9,7.9,0,0,0
20,Cristiano Felicio,Forward,17.9,3.4,5.3,.635,0.0,0.0,.000,3.4,5.3,.000,1.2,2.1,.551,2.3,3.7,6.0,0.9,0.6,1.3,1.2,1.9,7.9,0,0,0
21,Dairis Bertans,Guard,21.9,3.1,7.3,.433,1.7,4.4,.383,1.5,2.9,.383,1.7,2.1,.799,0.3,0.9,1.2,1.3,0.5,0.0,0.9,2.4,9.7,0,0,0
22,Damien Inglis,"Born:

    May 20, 1995
    

    
      in Caienna, Guinea
    
  
gn",16.8,2.1,4.7,.442,0.4,1.2,.360,1.7,3.5,.360,0.9,1.2,.716,0.7,2.8,3.5,1.5,0.7,0.1,1.5,1.7,5.5,0,0,0
23,Damjan Rudez,Forward,19.6,3.0,6.6,.460,1.5,3.6,.422,1.5,3.0,.422,0.8,1.0,.810,0.3,1.4,1.7,1.3,0.4,0.1,1.0,2.1,8.3,0,0,0
24,Daniel Theis,Center,19.6,3.0,6.6,.460,1.5,3.6,.422,1.5,3.0,.422,0.8,1.0,.810,0.3,1.4,1.7,1.3,0.4,0.1,1.0,2.1,8.3,0,0,0
25,Danilo Gallinari,Forward,28.6,3.9,8.7,.447,1.2,3.5,.351,2.7,5.2,.351,4.6,5.5,.844,1.2,3.7,4.8,1.2,1.8,0.4,1.4,2.6,13.6,0,0,0
26,Dante Exum,Forward,28.6,3.9,8.7,.447,1.2,3.5,.351,2.7,5.2,.351,4.6,5.5,.844,1.2,3.7,4.8,1.2,1.8,0.4,1.4,2.6,13.6,0,0,0
27,Dario Saric,Forward,28.6,3.9,8.7,.447,1.2,3.5,.351,2.7,5.2,.351,4.6,5.5,.844,1.2,3.7,4.8,1.2,1.8,0.4,1.4,2.6,13.6,0,0,0
28,David Andersen,Center,28.6,3.9,8.7,.447,1.2,3.5,.351,2.7,5.2,.351,4.6,5.5,.844,1.2,3.7,4.8,1.2,1.8,0.4,1.4,2.6,13.6,0,0,0
29,Davis Bertans,Forward,23.1,3.6,8.0,.450,2.4,5.6,.429,1.2,2.4,.429,1.1,1.3,.880,0.6,2.5,3.0,0.9,0.7,0.6,0.9,3.0,10.7,0,0,0
30,Dennis Schroder,Forward,23.1,3.6,8.0,.450,2.4,5.6,.429,1.2,2.4,.429,1.1,1.3,.880,0.6,2.5,3.0,0.9,0.7,0.6,0.9,3.0,10.7,0,0,0
31,Devyn Marble,"Born:

    September 21, 1992
    

    
      in Flint, Michigan
    
  
us",25.2,4.0,10.1,.391,1.2,4.2,.279,2.8,6.0,.279,2.2,2.8,.771,0.6,2.4,3.0,1.8,1.0,0.1,1.5,2.1,11.2,0,0,0
32,Donatas Motiejunas,Forward,25.2,4.0,10.1,.391,1.2,4.2,.279,2.8,6.0,.279,2.2,2.8,.771,0.6,2.4,3.0,1.8,1.0,0.1,1.5,2.1,11.2,0,0,0
33,Donte Greene,,25.2,4.0,10.1,.391,1.2,4.2,.279,2.8,6.0,.279,2.2,2.8,.771,0.6,2.4,3.0,1.8,1.0,0.1,1.5,2.1,11.2,0,0,0
34,Dragan Bender,Forward,25.2,4.0,10.1,.391,1.2,4.2,.279,2.8,6.0,.279,2.2,2.8,.771,0.6,2.4,3.0,1.8,1.0,0.1,1.5,2.1,11.2,0,0,0
35,Dzanan Musa,Guard,25.2,4.0,10.1,.391,1.2,4.2,.279,2.8,6.0,.279,2.2,2.8,.771,0.6,2.4,3.0,1.8,1.0,0.1,1.5,2.1,11.2,0,0,0
36,Edy Tavares,Guard,25.2,4.0,10.1,.391,1.2,4.2,.279,2.8,6.0,.279,2.2,2.8,.771,0.6,2.4,3.0,1.8,1.0,0.1,1.5,2.1,11.2,0,0,0
37,Elie Okobo,"Born:

    October 23, 1997",19.8,3.2,6.9,.464,1.3,3.5,.385,1.9,3.4,.385,1.3,1.6,.823,0.5,1.9,2.3,3.3,0.7,0.2,1.8,1.8,9.1,0,0,0
38,Emanuel Terry,"Born:

    October 23, 1997",19.8,3.2,6.9,.464,1.3,3.5,.385,1.9,3.4,.385,1.3,1.6,.823,0.5,1.9,2.3,3.3,0.7,0.2,1.8,1.8,9.1,0,0,0
39,Emmanuel Mudiay,,19.8,3.2,6.9,.464,1.3,3.5,.385,1.9,3.4,.385,1.3,1.6,.823,0.5,1.9,2.3,3.3,0.7,0.2,1.8,1.8,9.1,0,0,0
40,Enes Kanter,Center,19.8,3.2,6.9,.464,1.3,3.5,.385,1.9,3.4,.385,1.3,1.6,.823,0.5,1.9,2.3,3.3,0.7,0.2,1.8,1.8,9.1,0,0,0
41,Eric Dawson,Center,24.8,4.7,9.2,.505,0.1,0.2,.429,4.6,9.0,.429,1.6,2.4,.654,2.4,5.2,7.6,2.4,1.5,0.5,2.5,2.6,11.0,0,0,0
42,Eugene Jeter,Center,24.8,4.7,9.2,.505,0.1,0.2,.429,4.6,9.0,.429,1.6,2.4,.654,2.4,5.2,7.6,2.4,1.5,0.5,2.5,2.6,11.0,0,0,0
